"","Z.pred","low.80%","high.80%"
"1975",NA,NA,NA
"1976",NA,NA,NA
"1977",NA,NA,NA
"1978",NA,NA,NA
"1979",0.0368632944028802,NA,NA
"1980",0.123109254891858,-0.0301403105416937,0.27635882032541
"1981",0.481148425582989,-0.00180182685022329,0.964098678016201
"1982",0.259377567111085,0.143894679551343,0.374860454670826
"1983",0.1483673206369,-0.0316003340976678,0.328334975371467
"1984",0.200613096388099,0.069188303572742,0.332037889203457
"1985",0.224720938811698,0.0870774244651443,0.362364453158252
"1986",0.544055216794863,0.413773736908393,0.674336696681333
"1987",0.510401966163715,0.419335342927996,0.601468589399433
"1988",0.534042412671652,0.473595371071267,0.594489454272037
"1989",0.544822970303595,0.462966971651396,0.626678968955794
"1990",0.627475796116449,0.443652329655097,0.811299262577802
"1991",0.8535553727941,0.668209573610083,1.03890117197812
"1992",1.03590745510256,0.86380449214838,1.20801041805674
"1993",0.889123781109355,0.743029012486588,1.03521854973212
"1994",0.846034862926207,0.720026585694079,0.972043140158335
"1995",0.619450936919556,0.500227083228568,0.738674790610544
"1996",0.476642429542225,0.368061806694532,0.585223052389918
"1997",0.349353616962507,0.246642688538232,0.452064545386782
"1998",0.277163155294386,0.132478079392422,0.421848231196349
"1999",0.79977319207995,NA,NA
"2000",0.704661774577725,NA,NA
"2001",0.400679922555441,NA,NA
"2002",0.174584992624171,NA,NA
"2003",NA,NA,NA
"2004",NA,NA,NA
"2005",NA,NA,NA
"2006",NA,NA,NA
"2007",NA,NA,NA
"2008",NA,NA,NA
"2009",NA,NA,NA
"2010",NA,NA,NA
"2011",NA,NA,NA
"2012",NA,NA,NA
"2013",NA,NA,NA
"2014",NA,NA,NA
