"%SPR","F(%SPR)","YPR","SSB.PR","Freport_7-10"
0.2,0.498063087006848,0.724813427156737,1.4428739645416,0.498063087006848
0.25,0.403103254584444,0.724322522778721,1.80359244903011,0.403103254584444
0.3,0.332771260844162,0.711927958491327,2.16431094705182,0.332771260844162
0.35,0.27802917985734,0.690326892701654,2.52502943781767,0.27802917985734
0.4,0.233884299504967,0.661299278351261,2.88574791732768,0.233884299504967
0.45,0.197325779655413,0.626101956350372,3.24646641978964,0.197325779655413
0.5,0.166416779731418,0.585666672650437,3.60718490066674,0.166416779731418
0.55,0.139847799622296,0.54070983115628,3.9679034023677,0.139847799622296
0.6,0.116697773972278,0.491798070030471,4.32862189637114,0.116697773972278
0.65,0.0962976156124936,0.439389752997788,4.68934039807457,0.0962976156124936
0.7,0.0781480793762096,0.383862513988849,5.05005887760158,0.0781480793762096
0.75,0.0618681105913985,0.325532216021203,5.41077736730676,0.0618681105913985
0.8,0.0471611729557786,0.264666465185762,5.77149585685468,0.0471611729557786
