"","Z.obs","low.80%","high.80%"
"1975",NA,NA,NA
"1976",NA,NA,NA
"1977",NA,NA,NA
"1978",NA,NA,NA
"1979",0.36964376755376,NA,NA
"1980",0.0295341951646543,NA,NA
"1981",0.409039647637377,0.178853503748502,0.639225791526252
"1982",0.349608153857645,0.239741941240386,0.459474366474905
"1983",0.104606994021289,-0.151991725831169,0.361205713873746
"1984",0.231732632956791,0.112526257431754,0.350939008481828
"1985",0.754833633391144,-1.36137653000339,2.87104379678567
"1986",0.547708408475066,0.0857188613996187,1.00969795555051
"1987",0.475420195661388,0.29691461816116,0.653925773161616
"1988",0.720320365683491,0.517186129018139,0.923454602348842
"1989",0.309426985430301,0.035317401780043,0.583536569080559
"1990",0.637620214208803,0.445047533676969,0.830192894740636
"1991",1.00902531725938,0.789393521683221,1.22865711283553
"1992",0.92680704517052,0.773395878594136,1.0802182117469
"1993",0.918435135539361,0.79343959551057,1.04343067556815
"1994",1.08562032796838,0.980018701109399,1.19122195482737
"1995",0.680213854537599,0.549162904715834,0.811264804359364
"1996",0.49439310286277,0.417832354885031,0.570953850840508
"1997",0.384867976300102,0.277348940067604,0.492387012532599
"1998",0.25218248173693,0.0940857713431561,0.410279192130705
"1999",1.0751651795656,NA,NA
"2000",0.84297179273147,NA,NA
"2001",0.473585192531143,NA,NA
"2002",0.07431705966338,NA,NA
"2003",NA,NA,NA
"2004",NA,NA,NA
"2005",NA,NA,NA
"2006",NA,NA,NA
"2007",NA,NA,NA
"2008",NA,NA,NA
"2009",NA,NA,NA
"2010",NA,NA,NA
"2011",NA,NA,NA
"2012",NA,NA,NA
"2013",NA,NA,NA
"2014",NA,NA,NA
