"Full.F","Exp.Spawn","SPR","Freport_7-10"
0,1.70601178623606,1,0
0.01,1.64793106617748,0.951635557532485,0.01
0.02,1.59343372148895,0.906766264501282,0.02
0.03,1.54219633405938,0.865055599116798,0.03
0.04,1.4939334468771,0.826207496809092,0.04
0.05,1.44839214426348,0.789960527319901,0.05
0.06,1.4053475352808,0.756083044550391,0.06
0.07,1.36459896944806,0.724369125006854,0.07
0.08,1.32596684986988,0.694635149463433,0.08
0.09,1.28928993655466,0.666716912288934,0.09
0.1,1.25442305414237,0.6404671660011,0.1
0.11,1.2212351349999,0.615753526653417,0.11
0.12,1.18960754179271,0.592456679834841,0.12
0.13,1.15943262403952,0.570468838270931,0.13
0.14,1.13061247142847,0.549692410930201,0.14
0.15,1.10305783328995,0.530038850671476,0.15
0.16,1.07668717894409,0.511427653204458,0.16
0.17,1.05142587794379,0.493785484773444,0.17
0.18,1.02720548273085,0.477045419742136,0.18
0.19,1.00396309907686,0.461146272333192,0.19
0.2,0.981640832021015,0.446032009298163,0.2
0.21,0.960185296944261,0.43165123237019,0.21
0.22,0.939547187013402,0.417956721069023,0.22
0.23,0.919680889551575,0.404905027853419,0.23
0.24,0.900544144994455,0.392456118803729,0.24
0.25,0.882097743013649,0.380573054010806,0.25
0.26,0.86430525116279,0.36922170268094,0.26
0.27,0.847132772053656,0.358370488668392,0.27
0.28,0.830548725620274,0.347990162739989,0.28
0.29,0.814523653495678,0.338053598378576,0.29
0.3,0.799030042922616,0.32853560835908,0.3
0.31,0.784042167957691,0.319412779694826,0.31
0.32,0.76953594601743,0.310663324862701,0.32
0.33,0.75548880806261,0.302266947482336,0.33
0.34,0.741879580930025,0.294204720853403,0.34
0.35,0.728688380504389,0.286458977952391,0.35
0.36,0.715896514581449,0.279013211660485,0.36
0.37,0.703486394410593,0.271851984141575,0.37
0.38,0.691441454024162,0.264960844417208,0.38
0.39,0.679746076564233,0.258326253296471,0.39
0.4,0.668385526907764,0.251935514915524,0.4
0.41,0.657345889969753,0.245776714226066,0.41
0.42,0.646614014132979,0.239838659845869,0.42
0.43,0.636177459313285,0.234110831749318,0.43
0.44,0.626024449222433,0.228583333332737,0.44
0.45,0.616143827437267,0.223246847439318,0.45
0.46,0.606525016925071,0.218092595972518,0.46
0.47,0.597157982711385,0.213112302765722,0.47
0.48,0.588033197408675,0.208298159410338,0.48
0.49,0.579141609352794,0.20364279377495,0.49
0.5,0.570474613119423,0.199139240975198,0.5
0.51,0.562024022215183,0.194780916577999,0.51
0.52,0.553782043758136,0.190561591845143,0.52
0.53,0.545741254980216,0.186475370840245,0.53
0.54,0.537894581400086,0.182516669240068,0.54
0.55,0.530235276529148,0.17868019470636,0.55
0.56,0.522756902986207,0.174960928687911,0.56
0.57,0.515453314907719,0.171354109534726,0.57
0.58,0.508318641550815,0.167855216817049,0.58
0.59,0.501347271995545,0.164459956751829,0.59
0.6,0.494533840861073,0.161164248647955,0.6
0.61,0.487873214958044,0.157964212289579,0.61
0.62,0.481360480806114,0.154856156183914,0.62
0.63,0.474990932951714,0.15183656660641,0.63
0.64,0.468760063026659,0.148902097381969,0.64
0.65,0.462663549493178,0.146049560346174,0.65
0.66,0.456697248025505,0.143275916435233,0.66
0.67,0.450857182482242,0.140578267357682,0.67
0.68,0.445139536427469,0.137953847804795,0.68
0.69,0.439540645161932,0.135400018160207,0.69
0.7,0.434056988228763,0.132914257672485,0.7
0.71,0.428685182360966,0.130494158057339,0.71
0.72,0.423421974840484,0.128137417498805,0.72
0.73,0.418264237241009,0.125841835021221,0.73
