"Full.F","YPR","SPR","SSBPR","Freport_7-10"
0,0,1,7.21436982266837,0
0.01,0.0667694038628042,0.951635557532485,6.86545084844055,0.01
0.02,0.127228113602148,0.906766264501282,6.54174717483177,0.02
0.03,0.182051333111865,0.865055599116798,6.24083100919854,0.03
0.04,0.231829265679609,0.826207496809092,5.96056643224189,0.04
0.05,0.277079583240679,0.789960527319901,5.69906738939589,0.05
0.06,0.318257797582987,0.756083044550391,5.45466270003557,0.06
0.07,0.355765931664274,0.724369125006854,5.22586675592214,0.07
0.08,0.389959805301557,0.694635149463433,5.01135486005372,0.08
0.09,0.421155184958422,0.666716912288934,4.80994237227992,0.09
0.1,0.449632997346119,0.6404671660011,4.62056699480827,0.1
0.11,0.475643767526654,0.615753526653417,4.44227366089004,0.11
0.12,0.499411411545094,0.592456679834841,4.27420159223877,0.12
0.13,0.521136489378189,0.570468838270931,4.11557317159449,0.13
0.14,0.540999004707632,0.549692410930201,3.96568434116467,0.14
0.15,0.559160822606096,0.530038850671476,3.82389628912612,0.15
0.16,0.575767763823592,0.511427653204458,3.68962822775634,0.16
0.17,0.590951424338093,0.493785484773444,3.56235110022121,0.17
0.18,0.604830760692364,0.477045419742136,3.44158208022983,0.18
0.19,0.617513474994372,0.461146272333192,3.32687975095659,0.19
0.2,0.629097228012,0.446032009298163,3.21783986782481,0.2
0.21,0.639670704308905,0.43165123237019,3.11409162472911,0.21
0.22,0.649314549662148,0.417956721069023,3.01529435566178,0.22
0.23,0.658102197926716,0.404905027853419,2.9211346139924,0.23
0.24,0.666100601950461,0.392456118803729,2.83132358021917,0.24
0.25,0.673370881001722,0.380573054010806,2.7455947561763,0.25
0.26,0.679968895375863,0.36922170268094,2.66370190969561,0.26
0.27,0.685945757335508,0.358370488668392,2.58541723878417,0.27
0.28,0.691348286263261,0.347990162739989,2.51052972865684,0.28
0.29,0.696219414825182,0.338053598378576,2.43884367858685,0.29
0.3,0.70059855202562,0.32853560835908,2.37017737861774,0.3
0.31,0.70452190825248,0.319412779694826,2.30436191880497,0.31
0.32,0.708022786744517,0.310663324862701,2.24124011589929,0.32
0.33,0.711131845340769,0.302266947482336,2.18066554430665,0.33
0.34,0.713877331881684,0.294204720853403,2.12250165981137,0.34
0.35,0.716285296209321,0.286458977952391,2.06662100597216,0.35
0.36,0.718379781349936,0.279013211660485,2.01290449432919,0.36
0.37,0.720182996147482,0.271851984141575,1.9612407506235,0.37
0.38,0.721715471343867,0.264960844417208,1.91152552015223,0.38
0.39,0.722996200865018,0.258326253296471,1.86366112618504,0.39
0.4,0.724042769865862,0.251935514915524,1.81755597606497,0.4
0.41,0.724871470907727,0.245776714226066,1.77312411022712,0.41
0.42,0.725497409484867,0.239838659845869,1.73028478990126,0.42
0.43,0.725934599979572,0.234110831749318,1.68896211973207,0.43
0.44,0.726196053005043,0.228583333332737,1.64908470196065,0.44
0.45,0.726293854989581,0.223246847439318,1.61058531917207,0.45
0.46,0.726239240762698,0.218092595972518,1.57340064293154,0.46
0.47,0.726042659821961,0.213112302765722,1.53747096591239,0.47
0.48,0.725713836887054,0.208298159410338,1.50273995536731,0.48
0.49,0.725261827283793,0.20364279377495,1.46915442601388,0.49
0.5,0.724695067644243,0.199139240975198,1.43666413060055,0.5
0.51,0.72402142235906,0.194780916577999,1.405221566592,0.51
0.52,0.723248226173658,0.190561591845143,1.37478179756725,0.52
0.53,0.722382323280338,0.186475370840245,1.34530228806075,0.53
0.54,0.721430103223296,0.182516669240068,1.31674275069949,0.54
0.55,0.720397533902108,0.17868019470636,1.28906500459807,0.55
0.56,0.719290191931296,0.174960928687911,1.2622328440721,0.56
0.57,0.718113290588601,0.171354109534726,1.23621191681754,0.57
0.58,0.716871705562228,0.167855216817049,1.21096961078238,0.58
0.59,0.715569998687317,0.164459956751829,1.18647494902774,0.59
0.6,0.714212439843932,0.161164248647955,1.16269849193883,0.6
0.61,0.712803027172764,0.157964212289579,1.13961224620352,0.61
0.62,0.71134550575028,0.154856156183914,1.11718958002765,0.62
0.63,0.709843384852,0.15183656660641,1.09540514410286,0.63
0.64,0.708299953920905,0.148902097381969,1.07423479788451,0.64
0.65,0.706718297347392,0.146049560346174,1.05365554077542,0.65
0.66,0.705101308157669,0.143275916435233,1.0336454478455,0.66
0.67,0.703451700698887,0.140578267357682,1.01418360974827,0.67
0.68,0.701772022401517,0.137953847804795,0.9952500765239,0.68
0.69,0.70006466469247,0.135400018160207,0.976825805003745,0.69
0.7,0.698331873126059,0.132914257672485,0.958892609554745,0.7
0.71,0.696575756794157,0.130494158057339,0.941433115923382,0.71
0.72,0.694798297071662,0.128137417498805,0.92443071795804,0.72
0.73,0.693001355748625,0.125841835021221,0.907869537006305,0.73
0.74,0.691186682596097,0.123605305205987,0.891734383799788,0.74
0.75,0.689355922408795,0.121425813229194,0.876010722653666,0.75
0.76,0.687510621564171,0.119301430197994,0.860684637821587,0.76
0.77,0.685652234134163,0.117230308765345,0.8457428018588,0.77
0.78,0.683782127582974,0.115210679004273,0.831172445857558,0.78
0.79,0.681901588081528,0.113240844524243,0.816961331429178,0.79
0.8,0.680011825466779,0.111319178813519,0.803097724316475,0.8
0.81,0.678113977871783,0.1094441217926,0.789570369528976,0.81
0.82,0.676209116050436,0.107614176564914,0.776368467901223,0.82
0.83,0.674298247418835,0.105827906351961,0.763481653981765,0.83
0.84,0.672382319833556,0.104083931601027,0.750899975167127,0.84
0.85,0.67046222512554,0.102380927254438,0.738613872001224,0.85
0.86,0.668538802406834,0.100717620170126,0.726614159566329,0.86
0.87,0.666612841166127,0.0990927866839724,0.714892009896964,0.87
0.88,0.664685084167791,0.097505250305107,0.70343893535289,0.88
0.89,0.662756230168037,0.0959538795359053,0.692246772891792,0.89
0.9,0.660826936460764,0.0944375858090428,0.681307669186414,0.9
0.91,0.658897821264748,0.0929553215344588,0.670614066534635,0.91
0.92,0.65696946596294,0.0915060782495827,0.66015868951452,0.92
0.93,0.655042417203862,0.0900888848666207,0.649934532339594,0.93
0.94,0.653117188874362,0.0887028060111185,0.63993484687262,0.94
0.95,0.65119426395228,0.0873469404463975,0.630153131258901,0.95
0.96,0.649274096247014,0.086020419578824,0.620583119142739,0.96
0.97,0.647357112035346,0.0847224060391963,0.611218769433034,0.97
0.98,0.645443711599395,0.0834520923358452,0.602054256586256,0.98
0.99,0.643534270673071,0.0822086995753274,0.593083961377052,0.99
1,0.641629141802935,0.0809914762468536,0.584302462128663,1
1.01,0.639728655628988,0.0797996970668445,0.575704526377121,1.01
1.02,0.637833122090495,0.0786326618802278,0.567285102944801,1.02
1.03,0.63594283156161,0.0774896946153123,0.559039314400497,1.03
1.04,0.634058055921247,0.0763701422892632,0.55096244988455,1.04
1.05,0.632179049561317,0.0752733740613939,0.543049958278948,1.05
1.06,0.630306050337195,0.0741987803316572,0.535297441703508,1.06
1.07,0.62843928046399,0.0731457718818828,0.52770064932044,1.07
1.08,0.626578947361978,0.0721137790574502,0.520255471430643,1.08
1.09,0.624725244454316,0.0711022509872345,0.512957933846097,1.09
1.1,0.622878351919954,0.0701106548397843,0.505804192523658,1.1
