"index","name","value","stdev","CV"
79,"Freport",0.032567,0.0049777,0.15284490435103
80,"Freport",0.10196,0.016277,0.159641035700275
81,"Freport",0.068443,0.011693,0.170842891164911
82,"TotJan1B",7499.6,439.34,0.0585817910288549
83,"TotJan1B",7419.7,391.83,0.0528094127794924
84,"TotJan1B",6817.8,341.75,0.0501261403971956
85,"TotJan1B",5949.5,292.03,0.0490847970417682
86,"TotJan1B",5050.4,246.58,0.0488238555361952
87,"TotJan1B",4689.8,198.93,0.0424175871039277
88,"TotJan1B",4815.7,149.2,0.0309819963868181
89,"TotJan1B",4349.6,118.22,0.0271795107596101
90,"TotJan1B",4171.2,102.96,0.0246835443037975
91,"TotJan1B",3419.3,93.773,0.0274246190740795
92,"TotJan1B",2675.1,93.085,0.0347968300250458
93,"TotJan1B",2020,105.38,0.0521683168316832
94,"TotJan1B",1607.3,125.39,0.0780128165246065
95,"TotJan1B",1446.6,155.23,0.10730678833126
96,"TotJan1B",1646.7,186.5,0.11325681666363
97,"TotJan1B",1754.7,217.98,0.124226363480937
98,"TotJan1B",1903.8,250.76,0.13171551633575
99,"TotJan1B",2100.4,294.26,0.140097124357265
100,"TotJan1B",2328.9,337.17,0.144776503928893
101,"TotJan1B",2398.5,378.95,0.157994579945799
102,"SSB",5973.9,384.08,0.0642930079177757
103,"SSB",5954,350.24,0.0588243197850185
104,"SSB",5550.7,317.39,0.0571801754733637
105,"SSB",4537.9,250.1,0.0551135988012076
106,"SSB",4035,219.67,0.0544411400247831
107,"SSB",3335.5,176.94,0.0530475191125768
108,"SSB",2739.7,152.36,0.055611928313319
109,"SSB",2547.1,110.92,0.0435475638961957
110,"SSB",2738.1,90.079,0.0328983601767649
111,"SSB",2302.4,81.542,0.0354160875608061
112,"SSB",1702.9,77.295,0.0453902166891773
113,"SSB",1131.2,75.423,0.0666752121640735
114,"SSB",856.99,81.725,0.0953628397064143
115,"SSB",947.6,107.64,0.113592233009709
116,"SSB",1082,129.37,0.11956561922366
117,"SSB",1283.9,165.07,0.128569203208973
118,"SSB",1304.5,176.66,0.135423533921043
119,"SSB",1403.1,198.8,0.141686266125009
120,"SSB",1568,232.75,0.1484375
121,"SSB",1786.4,287.6,0.160994178235558
122,"ExploitableB",6706.1,573.21,0.085475909992395
123,"ExploitableB",6806.6,520.31,0.076441982781418
124,"ExploitableB",6401.4,450.66,0.070400224950792
125,"ExploitableB",5290.4,347.08,0.0656056252835324
126,"ExploitableB",4637.5,302.14,0.0651514824797844
127,"ExploitableB",3953,238.24,0.0602681507715659
128,"ExploitableB",3728.6,216.78,0.0581397843694684
129,"ExploitableB",3343.8,201.04,0.060123213110832
130,"ExploitableB",3487.3,214.53,0.0615175063802942
131,"ExploitableB",2967.5,191.99,0.0646975568660489
132,"ExploitableB",2266.4,163.48,0.072132015531239
133,"ExploitableB",1607.6,113.75,0.0707576511570042
134,"ExploitableB",1205.2,119.74,0.0993528045137736
135,"ExploitableB",1150.6,149.49,0.129923518164436
136,"ExploitableB",1310.8,174.35,0.133010375343302
137,"ExploitableB",1498.4,215.01,0.143493059263214
138,"ExploitableB",1521.9,220.81,0.145088376371641
139,"ExploitableB",1643.1,247.49,0.150623820826487
140,"ExploitableB",1865.1,285.64,0.153149965149322
141,"ExploitableB",2071.7,343.81,0.165955495486798
142,"recruits",600.73,58.158,0.0968122118089658
143,"recruits",561.55,54.855,0.0976849790757724
144,"recruits",324.6,40.558,0.124947627849661
145,"recruits",439.13,47.462,0.108081889189989
146,"recruits",185.38,29.933,0.161468335311253
147,"recruits",2679.1,102.97,0.0384345489156806
148,"recruits",578.01,48.932,0.0846559748101244
149,"recruits",391.2,35.825,0.0915771983640082
150,"recruits",695.35,44.513,0.0640152441216653
151,"recruits",129.11,15.216,0.117852993571373
152,"recruits",806.64,56.308,0.0698056134087077
153,"recruits",428.97,39.865,0.0929319066601394
154,"recruits",353.58,39.432,0.111522144917699
155,"recruits",350.84,44.36,0.126439402576673
156,"recruits",390.69,53.266,0.136338273311321
157,"recruits",168.04,27.311,0.162526779338253
158,"recruits",669.09,104.73,0.156526027888625
159,"recruits",328.68,61.023,0.185660825118656
160,"recruits",337.95,72.836,0.215523006361888
161,"recruits",257.23,73.659,0.286354624266221
