"index","name","value","stdev","CV"
1,"sel_params[1]",0.1543,0.013636,0.0883732987686325
2,"sel_params[2]",0.34984,0.027192,0.0777269608964098
3,"sel_params[3]",0.6141,0.045195,0.0735955056179775
4,"sel_params[4]",0.87968,0.06337,0.0720375591124045
5,"sel_params[5]",0.94527,0.071986,0.0761539031176278
6,"sel_params[6]",0.92633,0.07667,0.0827674802716095
7,"log_Fmult_year1",-4.2491,0.086423,0.300445359249779
8,"log_Fmult_devs",1.6249,0.019539,0.140467560665982
9,"log_Fmult_devs",0.34984,0.018546,0.136817561620811
10,"log_Fmult_devs",0.20437,0.019628,0.140790254312167
11,"log_Fmult_devs",-0.34387,0.016936,0.130691342894934
12,"log_Fmult_devs",0.49318,0.017392,0.132454223983662
13,"log_Fmult_devs",0.91846,0.018574,0.136921764889556
14,"log_Fmult_devs",-0.3045,0.02688,0.16505915916395
15,"log_Fmult_devs",0.27066,0.033994,0.185952680107333
16,"log_Fmult_devs",0.155,0.035921,0.19124318004533
17,"log_Fmult_devs",0.32481,0.038465,0.198026147816457
18,"log_Fmult_devs",0.025108,0.037838,0.196374570778059
19,"log_Fmult_devs",-0.16036,0.041253,0.20522116721954
20,"log_Fmult_devs",-1.6148,0.034185,0.18648330377217
21,"log_Fmult_devs",0.31633,0.028096,0.168802888441307
22,"log_Fmult_devs",-0.50733,0.026207,0.162952210909012
23,"log_Fmult_devs",-0.05648,0.023204,0.153216537014982
24,"log_Fmult_devs",-0.87067,0.020187,0.14280103471671
25,"log_Fmult_devs",1.1413,0.023122,0.152942426031829
26,"log_Fmult_devs",-0.3986,0.027961,0.168391145170455
27,"log_recruit_devs",0.16106,0.18511,0.450944344055725
28,"log_recruit_devs",0.093582,0.18546,0.451411173909316
29,"log_recruit_devs",-0.45415,0.19704,0.4666827096023
30,"log_recruit_devs",-0.14376,0.18414,0.449648882008884
31,"log_recruit_devs",-0.97966,0.19695,0.466565274132171
32,"log_recruit_devs",1.7089,0.1257,0.365980784564072
33,"log_recruit_devs",0.20788,0.12178,0.359868841685372
34,"log_recruit_devs",-0.143,0.10726,0.3364872285926
35,"log_recruit_devs",0.44848,0.078557,0.285875867695607
36,"log_recruit_devs",-1.2514,0.12142,0.359303540741242
37,"log_recruit_devs",0.62105,0.056938,0.242054076127526
38,"log_recruit_devs",0.073227,0.07605,0.281098779141279
39,"log_recruit_devs",0.024752,0.15715,0.412518031613295
40,"log_recruit_devs",0.13779,0.22648,0.504160218613633
41,"log_recruit_devs",0.19944,0.19937,0.469716421640774
42,"log_recruit_devs",-0.7011,0.17672,0.439655459657941
43,"log_recruit_devs",0.61358,0.12849,0.370283742735025
44,"log_recruit_devs",-0.1031,0.14832,0.399854973538161
45,"log_recruit_devs",-0.10149,0.16729,0.426728278583541
46,"log_recruit_devs",-0.41201,0.24095,0.521974530841389
47,"log_N_year1_devs",-2.5732,0.085668,0.29907285510205
48,"log_N_year1_devs",-3.3239,0.12239,0.36082515406909
49,"log_N_year1_devs",-2.7803,0.098081,0.321017333975081
50,"log_N_year1_devs",-2.812,0.10977,0.340619077601295
51,"log_N_year1_devs",-3.0295,0.13934,0.386671525489668
52,"log_N_year1_devs",-4.6967,0.38409,0.684308103647698
53,"log_N_year1_devs",-2.7263,0.1753,0.437725535111652
54,"log_N_year1_devs",-3.448,0.42141,0.723953751996118
55,"log_N_year1_devs",-2.8417,0.2765,0.564364202193724
56,"log_q_year1",-2.0486,0.10241,0.328386345696109
57,"log_q_year1",-3.6932,0.14955,0.401636072753841
58,"index_sel_params[1]",3.2608,0.11389,0.0349270117762512
59,"index_sel_params[2]",0.63873,0.037713,0.0590437273965525
60,"log_SR_scaler",6.1563,0.11391,0.347348904895097
61,"SR_steepness",0.5793,0.20495,0.353789055756948
62,"Freport",0.014277,0.0012339,0.0864257196890103
63,"Freport",0.072499,0.0057115,0.0787803969709927
64,"Freport",0.10286,0.0075596,0.0734940696091775
65,"Freport",0.12619,0.0087286,0.0691702987558444
66,"Freport",0.089471,0.0060705,0.0678488001698875
67,"Freport",0.14651,0.0093915,0.0641014265237868
68,"Freport",0.36707,0.024095,0.0656414307897676
69,"Freport",0.27071,0.017467,0.0645229212071959
70,"Freport",0.35485,0.023227,0.0654558264055235
71,"Freport",0.41435,0.028659,0.0691661638711235
72,"Freport",0.57336,0.045821,0.0799166317845682
73,"Freport",0.58794,0.050406,0.0857332380855189
74,"Freport",0.50083,0.058385,0.116576483038157
75,"Freport",0.099626,0.013395,0.134452853672736
76,"Freport",0.1367,0.019087,0.13962692026335
77,"Freport",0.082305,0.012174,0.147913249498815
78,"Freport",0.077785,0.011643,0.149681815260012
